AnimationID	SpriteID	FrameTime
BEGIN
9900	99000	100
9901	99100	100
				
9902	99001	100
9902	99002	100
9902	99003	100
9902	99000	100
				
9903	99101	100
9903	99102	100
9903	99103	100
9903	99100	100

9906	99007	75
9906	99008	75
9906	99009	200

9907	99107	75
9907	99108	75
9907	99109	200

9904	99004	100
				
9905	99104	100

9912	99022	150
9912	99023	150

9910	99022	150
9910	99024	150

9913	99122	150
9913	99123	150
		  
9911	99122	150
9911	99124	150

9916	99023	100
9914	99024	100

9917	99123	100
9915	99124	100

9918	99037	75
9918	99038	75
9918	99039	200

9919	99137	75
9919	99138	75
9919	99139	200

9920	99047	75
9920	99048	75
9920	99049	200

9921	99147	75
9921	99148	75
9921	99149	200

9922	99057	75
9922	99058	75
9922	99059	200

9923	99157	75
9923	99158	75
9923	99159	200

9925	99198	500
9925	99199	9999999

9926	99098	500
9926	99099	9999999

9928	99090	100
9927	99190	100
END
