ID	left	top	right	bottom
BEGIN
99000	436	2	468	64
99100	12	200	44	262
99001	374	2	406	64
99002	313	2	345	64
99003	256	2	288	64
99101	74	200	106	262
99102	135	200	167	262
99103	192	200	224	262
99004	196	18	228	64
99104	252	216	284	262
99007	136	2	168	64
99008	75	2	107	64
99009	16	2	48	64 
99107	312	200	360	262
99108	373	200	405	262
99109	432	200	464	262
99020	438	72	470	130
99022	262	68	294	130
99023	191	68	221	130
99024	319	68	349	130
99122	186	266	218	328
99123	259	266	289	328
99124	131	266	161	328
99037	16	67	48	113
99038	437	133	469	179
99039	375	133	407	179
99137	432	265	464	311
99138	11	331	43	377 
99139	73	331	105	377
99047	318	134	350	196
99048	258	134	290	196
99049	198	134	230	196
99147	130	332	162	394
99148	190	332	222	394
99149	250	332	282	394
99057	129	134	161	196
99058	69	134	101	196
99059	9	134	41	196
99157	319	332	351	394
99158	379	332	411	394
99159	439	332	471	394
99090	10	270	42	328
99190	438	72	470	130
99198	252	200	284	262
99199	60	267	124	329
99098	196	2	228	64
99099	115	68	179	130
END
